installment_id,loan_id,customer_id,full_name,city,segment,monthly_income,origination_date,origination_cohort,loan_principal_amount,annual_rate,term_months,loan_status,product_type,installment_number,due_date,principal_due,interest_due,total_due_amount,installment_status,total_paid_amount,ultima_fecha_pago,canales_de_pago,is_fully_paid,days_late,estado_gestion,dias_mora,indice_dti
I020,L009,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2024-08-10,2024-08,10000000,0.25,12,CLOSED,PAYROLL,4,2024-12-10,833333,156250,989583,PAID,989583,2024-12-11,ACH,true,1,PAGADA,0,25.37
I017,L009,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2024-08-10,2024-08,10000000,0.25,12,CLOSED,PAYROLL,1,2024-09-10,833333,208333,1041666,PAID,1041666,2024-09-10,PSE,true,0,PAGADA,0,26.71
I022,L009,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2024-08-10,2024-08,10000000,0.25,12,CLOSED,PAYROLL,6,2025-02-10,833333,121528,954861,PAID,954861,2025-02-11,PSE,true,1,PAGADA,0,24.48
I021,L009,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2024-08-10,2024-08,10000000,0.25,12,CLOSED,PAYROLL,5,2025-01-10,833333,138889,972222,PAID,972222,2025-01-10,PSE,true,0,PAGADA,0,24.93
I023,L009,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2024-08-10,2024-08,10000000,0.25,12,CLOSED,PAYROLL,7,2025-03-10,833333,104167,937500,PAID,937500,2025-03-10,CASH,true,0,PAGADA,0,24.04
I024,L009,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2024-08-10,2024-08,10000000,0.25,12,CLOSED,PAYROLL,8,2025-04-10,833333,86806,920139,PAID,920139,2025-04-10,BRANCH,true,0,PAGADA,0,23.59
I019,L009,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2024-08-10,2024-08,10000000,0.25,12,CLOSED,PAYROLL,3,2024-11-10,833333,173611,1006944,PAID,1006944,2024-11-12,BRANCH,true,2,PAGADA,0,25.82
I018,L009,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2024-08-10,2024-08,10000000,0.25,12,CLOSED,PAYROLL,2,2024-10-10,833333,190972,1024305,PAID,1024305,2024-10-10,ACH,true,0,PAGADA,0,26.26
I032,L011,C011,RICARDO MORA,BUCARAMANGA,MASS MARKET,3500000,2024-09-05,2024-09,7000000,0.29,10,ACTIVE,PAYROLL,1,2024-10-05,700000,169167,869167,PAID,869167,2024-10-08,PSE,true,3,PAGADA,0,24.83
I036,L011,C011,RICARDO MORA,BUCARAMANGA,MASS MARKET,3500000,2024-09-05,2024-09,7000000,0.29,10,ACTIVE,PAYROLL,5,2025-02-05,700000,101500,801500,PAID,801500,2025-02-05,PSE,true,0,PAGADA,0,22.9
I033,L011,C011,RICARDO MORA,BUCARAMANGA,MASS MARKET,3500000,2024-09-05,2024-09,7000000,0.29,10,ACTIVE,PAYROLL,2,2024-11-05,700000,152250,852250,PAID,852250,2024-11-06,PSE,true,1,PAGADA,0,24.35
I034,L011,C011,RICARDO MORA,BUCARAMANGA,MASS MARKET,3500000,2024-09-05,2024-09,7000000,0.29,10,ACTIVE,PAYROLL,3,2024-12-05,700000,135333,835333,PAID,835333,2024-12-05,ACH,true,0,PAGADA,0,23.87
I038,L011,C011,RICARDO MORA,BUCARAMANGA,MASS MARKET,3500000,2024-09-05,2024-09,7000000,0.29,10,ACTIVE,PAYROLL,7,2025-04-05,700000,67667,767667,DUE,0,,,false,385,MORA,385,21.93
I035,L011,C011,RICARDO MORA,BUCARAMANGA,MASS MARKET,3500000,2024-09-05,2024-09,7000000,0.29,10,ACTIVE,PAYROLL,4,2025-01-05,700000,118417,818417,PAID,818417,2025-01-05,PSE,true,0,PAGADA,0,23.38
I037,L011,C011,RICARDO MORA,BUCARAMANGA,MASS MARKET,3500000,2024-09-05,2024-09,7000000,0.29,10,ACTIVE,PAYROLL,6,2025-03-05,700000,84583,784583,PAID,784583,2025-03-05,PSE,true,0,PAGADA,0,22.42
I045,L013,C013,JORGE SANCHEZ,CALI,MASS MARKET,4100000,2024-10-02,2024-10,9500000,0.27,12,ACTIVE,DIGITAL,1,2024-11-02,791667,213750,1005417,PAID,1005417,2024-11-02,PSE,true,0,PAGADA,0,24.52
I048,L013,C013,JORGE SANCHEZ,CALI,MASS MARKET,4100000,2024-10-02,2024-10,9500000,0.27,12,ACTIVE,DIGITAL,4,2025-02-02,791667,160312,951979,PAID,951979,2025-02-04,CASH,true,2,PAGADA,0,23.22
I047,L013,C013,JORGE SANCHEZ,CALI,MASS MARKET,4100000,2024-10-02,2024-10,9500000,0.27,12,ACTIVE,DIGITAL,3,2025-01-02,791667,178125,969792,PAID,969792,2025-01-02,ACH,true,0,PAGADA,0,23.65
I046,L013,C013,JORGE SANCHEZ,CALI,MASS MARKET,4100000,2024-10-02,2024-10,9500000,0.27,12,ACTIVE,DIGITAL,2,2024-12-02,791667,195937,987604,PAID,3033160,2025-01-17,PSE,true,46,PAGADA,0,24.09
I049,L013,C013,JORGE SANCHEZ,CALI,MASS MARKET,4100000,2024-10-02,2024-10,9500000,0.27,12,ACTIVE,DIGITAL,5,2025-03-02,791667,142500,934167,PAID,934167,2025-03-05,ACH,true,3,PAGADA,0,22.78
I050,L013,C013,JORGE SANCHEZ,CALI,MASS MARKET,4100000,2024-10-02,2024-10,9500000,0.27,12,ACTIVE,DIGITAL,6,2025-04-02,791667,124687,916354,DUE,0,,,false,388,MORA,388,22.35
I061,L015,C015,MIGUEL ANGEL PARRA,BOGOTÁ,MASS MARKET,4800000,2024-10-28,2024-10,11000000,0.25,12,ACTIVE,DIGITAL,5,2025-03-28,916667,152778,1069445,DUE,0,,,false,393,MORA,393,22.28
I060,L015,C015,MIGUEL ANGEL PARRA,BOGOTÁ,MASS MARKET,4800000,2024-10-28,2024-10,11000000,0.25,12,ACTIVE,DIGITAL,4,2025-02-28,916667,171875,1088542,PAID,1088542,2025-02-28,ACH,true,0,PAGADA,0,22.68
I059,L015,C015,MIGUEL ANGEL PARRA,BOGOTÁ,MASS MARKET,4800000,2024-10-28,2024-10,11000000,0.25,12,ACTIVE,DIGITAL,3,2025-01-28,916667,190972,1107639,PAID,1107639,2025-01-30,ACH,true,2,PAGADA,0,23.08
I058,L015,C015,MIGUEL ANGEL PARRA,BOGOTÁ,MASS MARKET,4800000,2024-10-28,2024-10,11000000,0.25,12,ACTIVE,DIGITAL,2,2024-12-28,916667,210069,1126736,PAID,1126736,2024-12-30,CASH,true,2,PAGADA,0,23.47
I057,L015,C015,MIGUEL ANGEL PARRA,BOGOTÁ,MASS MARKET,4800000,2024-10-28,2024-10,11000000,0.25,12,ACTIVE,DIGITAL,1,2024-11-28,916667,229167,1145834,PAID,1145834,2024-11-29,ACH,true,1,PAGADA,0,23.87
I003,L001,C001,ANA TORRES,BOGOTÁ,MASS MARKET,4200000,2024-11-15,2024-11,5000000,0.15,12,ACTIVE,PERSONAL,3,2025-04-05,1000000,200000,1200000,DUE,0,,,false,385,MORA,385,28.57
I001,L001,C001,ANA TORRES,BOGOTÁ,MASS MARKET,4200000,2024-11-15,2024-11,5000000,0.15,12,ACTIVE,PERSONAL,1,2025-02-05,1000000,240000,1240000,PAID,1240000,2025-02-05,PSE,true,0,PAGADA,0,29.52
I002,L001,C001,ANA TORRES,BOGOTÁ,MASS MARKET,4200000,2024-11-15,2024-11,5000000,0.15,12,ACTIVE,PERSONAL,2,2025-03-05,1000000,220000,1220000,LATE,0,,,false,416,MORA,416,29.05
I069,L017,C017,DAVID OSPINA,CARTAGENA,MASS MARKET,3200000,2024-11-20,2024-11,5500000,0.31,8,DEFAULT,DIGITAL,3,2025-02-20,687500,106562,794062,LATE,0,,,false,429,MORA,429,24.81
I068,L017,C017,DAVID OSPINA,CARTAGENA,MASS MARKET,3200000,2024-11-20,2024-11,5500000,0.31,8,DEFAULT,DIGITAL,2,2025-01-20,687500,124323,811823,LATE,0,,,false,460,MORA,460,25.37
I070,L017,C017,DAVID OSPINA,CARTAGENA,MASS MARKET,3200000,2024-11-20,2024-11,5500000,0.31,8,DEFAULT,DIGITAL,4,2025-03-20,687500,88802,776302,LATE,0,,,false,401,MORA,401,24.26
I067,L017,C017,DAVID OSPINA,CARTAGENA,MASS MARKET,3200000,2024-11-20,2024-11,5500000,0.31,8,DEFAULT,DIGITAL,1,2024-12-20,687500,142083,829583,PAID,829583,2024-12-20,PSE,true,0,PAGADA,0,25.92
I077,L019,C019,SEBASTIAN VARGAS,CALI,MASS MARKET,3700000,2024-12-12,2024-12,8500000,0.28,10,ACTIVE,PAYROLL,3,2025-03-12,850000,158667,1008667,PARTIAL,567685,2025-03-28,ACH,false,0,MORA,409,27.26
I078,L019,C019,SEBASTIAN VARGAS,CALI,MASS MARKET,3700000,2024-12-12,2024-12,8500000,0.28,10,ACTIVE,PAYROLL,4,2025-04-12,850000,138833,988833,DUE,0,,,false,378,MORA,378,26.73
I076,L019,C019,SEBASTIAN VARGAS,CALI,MASS MARKET,3700000,2024-12-12,2024-12,8500000,0.28,10,ACTIVE,PAYROLL,2,2025-02-12,850000,178500,1028500,PAID,1028500,2025-02-12,ACH,true,0,PAGADA,0,27.8
I075,L019,C019,SEBASTIAN VARGAS,CALI,MASS MARKET,3700000,2024-12-12,2024-12,8500000,0.28,10,ACTIVE,PAYROLL,1,2025-01-12,850000,198333,1048333,PAID,1048333,2025-01-12,ACH,true,0,PAGADA,0,28.33
I002,L001,C001,ANA TORRES,BOGOTÁ,MASS MARKET,4200000,2025-01-05,2025-01,12000000,0.24,12,ACTIVE,PAYROLL,2,2025-03-05,1000000,220000,1220000,LATE,0,,,false,416,MORA,416,29.05
I003,L001,C001,ANA TORRES,BOGOTÁ,MASS MARKET,4200000,2025-01-05,2025-01,12000000,0.24,12,ACTIVE,PAYROLL,3,2025-04-05,1000000,200000,1200000,DUE,0,,,false,385,MORA,385,28.57
I001,L001,C001,ANA TORRES,BOGOTÁ,MASS MARKET,4200000,2025-01-05,2025-01,12000000,0.24,12,ACTIVE,PAYROLL,1,2025-02-05,1000000,240000,1240000,PAID,1240000,2025-02-05,PSE,true,0,PAGADA,0,29.52
